id,brand,name,image,release_date,resolution,weight,os,chipset,memory,ram,main_camera_1,main_camera_2,main_camera_3,selfie_camera,earphone_jack,battery,charging,colors,nfc,price
86,Xiaomi,Redmi Note13 Pro 5G,https://i02.appmifile.com/998_item_id/19/02/2024/f9b4ff0d1564f41fe67c79d66b973056.png?thumb=1&w=1000&f=webp&q=85,28/02/2024,1220x2712,187,Android 13,Qualcomm Snapdragon 7s Gen 2,512,16,200,8,2,16,TRUE,5100,67,Midnight Black; Aurora Purple (Coral Purple); Ocean Teal; Arctic White,TRUE,4399000
87,Xiaomi,Redmi Note 13 Pro 4G,https://i02.appmifile.com/878_item_id/19/02/2024/ce322176b66dcb4e94695a1eed5237f5.png?thumb=1&w=1000&f=webp&q=85,28/02/2024,1080x2400,188,Android 13,Mediatek Helio G99 Ultra,512,12,200,8,2,16,TRUE,5000,67,Midnight Black; Lavender Purple; Forest Green,TRUE,3799000
88,Xiaomi,Redmi Note 13 5G,https://i02.appmifile.com/32_item_id/19/02/2024/cf3e69e098ff17397dd29d6b509eb157.png?thumb=1&w=1000&f=webp&q=85,28/02/2024,1080x2400,174.5,Android 13,Mediatek Dimensity 6080,256,12,108,8,2,16,TRUE,5000,33,Graphite Black (Stealth Black); Arctic White; Ocean Teal; Prism Gold,TRUE,3199000
89,Xiaomi,Redmi Note 13 4G,https://i02.appmifile.com/340_item_id/19/02/2024/1f6ba3fe10f23b5e810863ee91a294c4.png?thumb=1&w=1000&f=webp&q=85,28/02/2024,1080x2400,188.5,Android 13,Qualcomm SM6225 Snapdragon 685,256,8,108,8,2,16,TRUE,5000,33,Midnight Black; Mint Green; Ice Blue; Ocean Sunset,TRUE,2799000
90,Xiaomi,Redmi 13C,https://i02.appmifile.com/675_item_id/28/11/2023/264300957e1ac394b3414258c1690201.png?thumb=1&w=1000&f=webp&q=85,12/12/2023,720x1600,192,Android 13,Mediatek Helio G85,256,8,50,2,0.08,8,TRUE,5000,18,Midnight Black; Navy Blue; Glacier White; Clover Green,TRUE,1499000
91,Xiaomi,Redmi A3,https://i02.appmifile.com/992_item_id/19/02/2024/5b022419cca62ff171ec1e37e8a7db99.png?thumb=1&w=1000&f=webp&q=85,20/02/2024,720x1650,193,Android 14,Mediatek Helio G36,128,6,8,0.08,,5,TRUE,5000,10,Midnight Black; Forest Green (Olive Green); Star Blue (Lake Blue),FALSE,1199000
92,Xiaomi,Redmi 12,https://i02.appmifile.com/741_item_id/24/07/2023/0600a10364f59d2f3f837e44c85a5531.png?thumb=1&w=1000&f=webp&q=85,1/8/2023,1080x2460,198.5,Android 13,Mediatek Helio G88,256,8,50,8,2,8,TRUE,5000,18,Midnight Black; Sky Blue; Polar Silver; Moonstone Silver,TRUE,1999000
93,Poco,Poco F5,https://i02.appmifile.com/492_item_id/16/06/2023/3cf735b3900a1741402fd54206116f98.png?thumb=1&w=440&f=webp&q=85,27/06/2023,1080x2400,181,Android 13,Qualcomm SM7475-AB Snapdragon 7+ Gen 2,256,8,64,8,2,16,TRUE,5000,67,White; Black,TRUE,4999000
94,Poco,Poco X6 Pro 5G,https://i02.appmifile.com/998_item_id/19/01/2024/1d6f2ef4668317d124927e6f8a88621f.png?thumb=1&w=440&f=webp&q=85,1/2/2024,1220x2712,186,Android 14,Mediatek Dimensity 8300 Ultra,512,12,64,8,2,16,FALSE,5000,67,Yellow; Grey; Black,TRUE,4999000
95,Poco,Poco X6 5G,https://i02.appmifile.com/534_item_id/19/01/2024/1c5e9d121dfda321a99d719b2e15bb83.png?thumb=1&w=440&f=webp&q=85,1/2/2024,1220X2712,181,Android 13,Qualcomm SM7345-AB Snapdragon 7s Gen 2,256,12,64,8,2,16,TRUE,5100,67,White; Black,TRUE,3999000
96,Poco,Poco C65,https://i02.appmifile.com/755_item_id/21/12/2023/ae662abe255bdacd9471d7c3066090bd.png?thumb=1&w=440&f=webp&q=85,4/1/2024,720x1600,192,Android 13,Mediatek Helio G85,256,8,50,2,0.08,8,TRUE,5000,18,Black; Purple,TRUE,1749000
